Date,Open,High,Low,Close,Volume
7/7/2006,492.7,495.9,490.0999,490.8,807950
7/10/2006,493.3,496.4,491.0001,493.4,838869
7/11/2006,493.4,496.7999,488.6,496.0001,816880
7/12/2006,495.2,497.3,487.1001,488.3,1374150
7/13/2006,488,488,478.3,478.7,1633189
7/14/2006,478.5001,480.0999,474.1,475.8,1539689
7/17/2006,469.1,469.5,463.3,463.9999,3265409
7/18/2006,464.2,468.9999,462.2,465.5,1655100
7/19/2006,468.5001,475.0999,468.3,472.5,2621339
7/20/2006,472.5,474.5,470.5,471.1,1597130
